City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Villa Carlos Paz,AR,80.89,overcast clouds,-31.4241,-64.4978,Monte Carlo
289,Koudougou,BF,89.26,overcast clouds,12.25,-2.3667,VAREK OCADES
290,Zaraza,VE,89.96,broken clouds,9.3503,-65.3245,Hotel Zaraza
293,Ipixuna,BR,82.35,broken clouds,-1.7625,-48.8043,Casa da Oscarina
296,Kourou,GF,77.05,moderate rain,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
299,Dakoro,NE,76.19,scattered clouds,14.5106,6.765,Shagon mai liverpool
303,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
309,Xuddur,SO,86.0,overcast clouds,4.1213,43.8894,Banjanay Hotel
312,Sinnamary,GF,75.29,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
313,Mahanoro,MG,79.38,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
314,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
315,Omboue,GA,80.17,light rain,-1.5746,9.2618,Hotel Olako
323,Santo Tomas,PH,77.25,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
327,Ugoofaaru,MV,81.23,broken clouds,5.6667,73.0,Ungoofaaru Inn
328,Saint-Joseph,RE,75.58,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
329,Neuquen,AR,84.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
342,Rameswaram,IN,79.09,few clouds,9.2833,79.3,Daiwik Hotels Rameswaram
344,Xai-Xai,MZ,80.22,overcast clouds,-25.0519,33.6442,Complexo da Familia
349,Manavalakurichi,IN,82.49,scattered clouds,8.1333,77.3,Muttom beach west
352,Irece,BR,82.78,broken clouds,-11.3042,-41.8558,Caraíbas Palace Hotel
354,Dagana,MR,89.8,overcast clouds,16.5165,-15.5068,Quartier Dille koumba fatim thiam
355,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
358,Palora,EC,78.78,overcast clouds,-1.7,-77.9333,Rancho grande
363,Rio Grande,BR,79.95,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
368,Quatre Cocos,MU,79.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
374,Mitsamiouli,KM,82.45,broken clouds,-11.3847,43.2844,Foyer ADM
375,Alta Floresta,BR,89.42,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
379,Isla Mujeres,MX,77.16,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
382,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
383,Tamandare,BR,83.86,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
