City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Nanortalik,GL,60.1432,-45.2371,38.5,76,99,10.0,overcast clouds
113,Viedma,AR,-40.8135,-62.9967,85.71,15,0,9.73,clear sky
114,Touros,BR,-5.1989,-35.4608,86.9,62,47,13.91,scattered clouds
115,Vardo,NO,70.3705,31.1107,25.0,100,90,25.32,snow
116,Havoysund,NO,70.9963,24.6622,26.83,94,100,23.0,light snow
117,Bulancak,TR,40.9372,38.2291,33.62,93,75,5.75,light shower snow
118,Castro,BR,-24.7911,-50.0119,88.45,28,11,8.57,few clouds
119,Kashi,CN,39.4547,75.9797,29.32,43,95,1.28,overcast clouds
120,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,78,20,3.44,few clouds
121,Bubaque,GW,11.2833,-15.8333,83.64,52,62,9.1,broken clouds
122,Atar,MR,20.5169,-13.0499,82.2,16,31,14.54,scattered clouds
123,Iqaluit,CA,63.7506,-68.5145,3.09,85,98,5.44,overcast clouds
124,Oneida,US,43.2001,-75.4663,35.53,75,90,11.99,overcast clouds
125,Atbasar,KZ,51.8,68.3333,31.84,92,100,15.3,overcast clouds
126,Peto,MX,20.1333,-88.9167,77.99,43,0,5.01,clear sky
127,Catamarca,AR,-28.4696,-65.7852,83.82,57,96,6.96,light rain
128,Souillac,MU,-20.5167,57.5167,79.36,85,100,13.13,overcast clouds
129,Khandbari,NP,27.3747,87.2039,49.08,63,24,3.44,few clouds
130,Takoradi,GH,4.8845,-1.7554,83.46,57,89,8.43,overcast clouds
131,Henties Bay,NA,-22.116,14.2845,67.86,73,0,10.87,clear sky
132,Vestmannaeyjar,IS,63.4427,-20.2734,36.59,75,0,23.02,clear sky
133,Marrakesh,MA,31.6315,-8.0083,69.87,52,75,4.61,broken clouds
134,Benghazi,LY,32.1167,20.0667,60.71,58,7,6.64,clear sky
135,Hofn,IS,64.2539,-15.2082,28.94,68,9,15.97,clear sky
136,Chapleau,CA,47.8405,-83.4034,5.86,82,100,8.21,overcast clouds
137,Coihaique,CL,-45.5752,-72.0662,83.01,34,0,11.5,clear sky
138,Chapais,CA,49.7834,-74.8492,11.98,88,100,3.53,overcast clouds
139,Tromso,NO,69.6496,18.957,25.38,93,90,3.0,shower snow
140,Santa Maria,BR,-29.6842,-53.8069,89.74,35,91,4.7,overcast clouds
141,Itarema,BR,-2.9248,-39.9167,88.25,57,22,17.47,few clouds
142,Qunduz,AF,36.729,68.857,52.83,65,78,4.23,broken clouds
143,Kudahuvadhoo,MV,2.6708,72.8944,82.58,73,73,11.18,broken clouds
144,Mpongwe,ZM,-13.5091,28.155,64.92,95,100,2.75,overcast clouds
145,Troitskoye,RU,52.9821,84.6757,12.0,93,6,5.41,clear sky
146,Saint-Paul,RE,-21.0096,55.2707,77.11,81,100,9.57,overcast clouds
147,Cockburn Town,TC,21.4612,-71.1419,82.36,65,20,9.22,few clouds
148,Giyani,ZA,-23.3025,30.7187,80.33,56,98,6.38,overcast clouds
149,Stornoway,GB,58.2093,-6.3865,40.96,85,75,1.99,broken clouds
150,Adre,TD,13.4667,22.2,73.85,20,18,9.51,few clouds
151,Nchelenge,ZM,-9.3451,28.734,70.36,87,100,8.57,overcast clouds
152,Saint-Pierre,RE,-21.3393,55.4781,76.68,88,99,0.0,overcast clouds
153,Faya,SA,18.3851,42.4509,55.92,83,16,5.53,few clouds
154,Karaton,ID,-6.3424,106.1045,77.16,91,83,3.31,broken clouds
155,Lagoa,PT,39.05,-27.9833,59.94,61,78,30.13,broken clouds
156,Kjollefjord,NO,70.9457,27.3465,26.65,86,75,23.02,light shower snow
157,Vwawa,TZ,-9.1167,32.9333,66.43,75,84,4.25,light rain
158,Vila Velha,BR,-20.3297,-40.2925,84.15,81,20,10.0,few clouds
159,Opatija,HR,45.3392,14.3083,45.18,69,35,5.48,scattered clouds
160,Dalbandin,PK,28.8947,64.4101,66.42,29,14,2.19,few clouds
161,Tapa,EE,59.2606,25.9586,21.38,83,69,4.45,broken clouds
