City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,San Cristobal,VE,2021-12-21 13:22:41,7.7669,-72.225,69.98,73,88,2.73
103,Ngozi,BI,2021-12-21 13:22:41,-2.9075,29.8306,67.26,82,90,4.68
104,Kuytun,RU,2021-12-21 13:22:42,54.3419,101.5036,-17.1,96,54,3.42
105,Port Elizabeth,ZA,2021-12-21 13:22:42,-33.918,25.5701,73.69,78,0,19.57
106,Sakakah,SA,2021-12-21 13:22:42,29.9697,40.2064,60.37,38,1,10.92
107,Cordoba,AR,2021-12-21 13:20:16,-31.4135,-64.1811,95.41,32,75,5.99
108,Cabedelo,BR,2021-12-21 13:22:43,-6.9811,-34.8339,86.67,66,100,12.28
109,Bilma,NE,2021-12-21 13:22:43,18.6853,12.9164,72.3,17,6,7.72
110,Cayenne,GF,2021-12-21 13:22:43,4.9333,-52.3333,83.08,86,75,1.99
111,Kirovsk,UA,2021-12-21 13:22:01,48.6375,38.6428,24.91,92,100,9.62
112,Baghdad,IQ,2021-12-21 13:19:51,33.3406,44.4009,60.71,44,0,4.61
113,Souillac,MU,2021-12-21 13:22:44,-20.5167,57.5167,80.98,78,75,9.22
114,Omboue,GA,2021-12-21 13:22:44,-1.5746,9.2618,84.65,73,41,5.61
115,Saldanha,ZA,2021-12-21 13:22:45,-33.0117,17.9442,95.05,65,36,16.04
116,Saint-Augustin,CA,2021-12-21 13:22:45,51.226,-58.6502,8.85,90,100,2.91
117,Teruel,ES,2021-12-21 13:22:45,40.6667,-0.6667,52.12,69,99,13.58
118,Luderitz,NA,2021-12-21 13:22:46,-26.6481,15.1594,69.21,60,0,10.36
119,Balkhash,KZ,2021-12-21 13:22:46,46.844,74.9804,30.42,86,34,12.68
120,Teguise,ES,2021-12-21 13:22:46,29.0605,-13.564,70.02,68,20,9.22
121,Puerto Ayacucho,VE,2021-12-21 13:22:47,5.6639,-67.6236,80.38,76,62,5.82
122,Ahwa,IN,2021-12-21 13:22:47,20.75,73.6833,68.95,42,79,2.35
123,Sorland,NO,2021-12-21 13:22:14,67.667,12.6934,35.46,68,88,15.79
124,Kasongo-Lunda,CD,2021-12-21 13:22:47,-6.4667,16.8167,84.97,68,93,3.36
125,Blankenberge,BE,2021-12-21 13:22:48,51.3131,3.1323,40.96,73,2,1.01
126,Viedma,AR,2021-12-21 13:22:48,-40.8135,-62.9967,81.84,32,5,16.15
127,Koungou,YT,2021-12-21 13:22:48,-12.7336,45.2042,87.51,66,0,5.75
128,Nakuru,KE,2021-12-21 13:22:49,-0.2833,36.0667,67.66,74,100,6.67
129,Bandarbeyla,SO,2021-12-21 13:22:49,9.4942,50.8122,79.48,64,100,16.67
130,Kruisfontein,ZA,2021-12-21 13:22:49,-34.0033,24.7314,81.12,56,0,20.96
131,Itarema,BR,2021-12-21 13:22:00,-2.9248,-39.9167,87.62,58,87,16.51
132,Iqaluit,CA,2021-12-21 13:22:50,63.7506,-68.5145,-9.31,69,75,18.99
133,Chapais,CA,2021-12-21 13:22:50,49.7834,-74.8492,1.18,89,100,11.52
134,Barrancas,CO,2021-12-21 13:20:37,10.9576,-72.7877,77.25,69,60,2.24
135,Obera,AR,2021-12-21 13:22:51,-27.4871,-55.1199,92.32,38,0,1.1
136,Mangrol,IN,2021-12-21 13:23:51,21.1167,70.1167,72.95,48,6,10.29
137,Hamilton,US,2021-12-21 13:20:55,39.1834,-84.5333,29.93,94,90,0.0
138,Gornopravdinsk,RU,2021-12-21 13:23:51,60.05,69.9,18.46,96,100,5.95
139,Saint-Pierre,RE,2021-12-21 13:23:52,-21.3393,55.4781,80.29,72,40,23.02
140,Khor,RU,2021-12-21 13:23:52,47.8861,134.9464,-1.07,97,100,3.62
141,Grand Gaube,MU,2021-12-21 13:23:53,-20.0064,57.6608,81.0,89,100,5.99
142,Methoni,GR,2021-12-21 13:23:53,36.8197,21.7049,61.21,61,0,15.12
143,Adrar,MR,2021-12-21 13:23:53,20.5022,-10.0711,78.62,15,100,11.63
144,Ostrovnoy,RU,2021-12-21 13:23:54,68.0531,39.5131,23.94,75,100,16.87
